Price,Close,High,Low,Open,Volume
Ticker,030520.KQ,030520.KQ,030520.KQ,030520.KQ,030520.KQ
Date,,,,,
2025-01-02,22250.0,22350.0,21300.0,21400.0,560503
2025-01-03,22350.0,22450.0,21800.0,22400.0,600686
2025-01-06,21950.0,22750.0,21750.0,22600.0,932744
2025-01-07,21950.0,22450.0,21850.0,22150.0,534519
2025-01-08,21750.0,22300.0,21500.0,21550.0,609327
2025-01-09,21600.0,21700.0,20850.0,21600.0,683654
2025-01-10,21700.0,21850.0,21300.0,21550.0,400686
2025-01-13,21750.0,21850.0,21350.0,21500.0,312817
2025-01-14,21750.0,22500.0,21600.0,21900.0,578879
2025-01-15,22000.0,22400.0,21750.0,21800.0,522342
2025-01-16,22250.0,22650.0,22100.0,22350.0,535737
2025-01-17,21750.0,22200.0,21500.0,22200.0,521651
2025-01-20,22450.0,22500.0,21450.0,21800.0,662576
2025-01-21,22100.0,22550.0,21900.0,22500.0,361672
2025-01-22,22900.0,23300.0,22400.0,22700.0,1207393
2025-01-23,22250.0,23450.0,22200.0,23300.0,768238
2025-01-24,22700.0,22850.0,21900.0,22250.0,534326
2025-01-31,24050.0,24600.0,22950.0,23350.0,2862854
2025-02-03,24000.0,25150.0,23600.0,24300.0,2314586
2025-02-04,23900.0,25000.0,23900.0,24550.0,1126506
2025-02-05,25000.0,25350.0,24250.0,24450.0,1595016
2025-02-06,25200.0,25550.0,24400.0,25100.0,1060298
2025-02-07,23700.0,25500.0,23700.0,25300.0,1098908
2025-02-10,23850.0,24150.0,23300.0,23550.0,625026
2025-02-11,23850.0,24700.0,23850.0,24050.0,645339
2025-02-12,24350.0,24500.0,23600.0,23850.0,647120
2025-02-13,23800.0,24600.0,23700.0,24550.0,594022
2025-02-14,23300.0,23950.0,23050.0,23900.0,514028
2025-02-17,24500.0,24650.0,23350.0,23350.0,692296
2025-02-18,24650.0,24800.0,24050.0,24500.0,567029
2025-02-19,24050.0,24800.0,23850.0,24750.0,548093
2025-02-20,23250.0,24750.0,23150.0,24200.0,802297
2025-02-21,22550.0,23650.0,22500.0,23350.0,598533
2025-02-24,22100.0,22400.0,21250.0,22200.0,1018174
2025-02-25,22100.0,22450.0,21800.0,22350.0,505387
2025-02-26,22400.0,22900.0,21950.0,21950.0,572792
2025-02-27,22500.0,22750.0,22200.0,22500.0,319393
2025-02-28,21100.0,22100.0,21000.0,21950.0,775167
2025-03-04,20400.0,20800.0,20100.0,20800.0,563397
2025-03-05,20900.0,21000.0,20500.0,20500.0,258223
2025-03-06,20550.0,21200.0,20500.0,21100.0,225467
2025-03-07,20000.0,20600.0,19910.0,20300.0,407387
2025-03-10,19860.0,20200.0,19710.0,19780.0,209052
2025-03-11,19230.0,19470.0,18920.0,18970.0,494883
2025-03-12,19510.0,19720.0,19280.0,19310.0,340802
2025-03-13,19970.0,20350.0,19730.0,19730.0,439453
2025-03-14,20250.0,20550.0,19930.0,20150.0,214182
2025-03-17,20250.0,20650.0,20200.0,20600.0,170048
2025-03-18,20050.0,20500.0,20000.0,20400.0,222633
2025-03-19,20300.0,20300.0,19990.0,20150.0,170531
2025-03-20,19930.0,20400.0,19930.0,20400.0,226869
2025-03-21,19940.0,20200.0,19930.0,20050.0,171161
2025-03-24,20100.0,20300.0,20000.0,20050.0,96132
2025-03-25,19300.0,20400.0,19270.0,20350.0,248630
2025-03-26,19560.0,19730.0,19380.0,19400.0,128559
2025-03-27,19140.0,19530.0,19130.0,19300.0,100543
2025-03-28,18690.0,19350.0,18610.0,19350.0,164174
2025-03-31,18130.0,18650.0,18000.0,18350.0,155461
2025-04-01,18480.0,18720.0,18030.0,18300.0,160083
2025-04-02,18640.0,18970.0,18390.0,18850.0,105981
2025-04-03,18290.0,18470.0,18060.0,18130.0,150277
2025-04-04,18610.0,18880.0,17960.0,18030.0,156041
2025-04-07,17690.0,18400.0,17330.0,17970.0,345469
2025-04-08,18240.0,18850.0,18100.0,18210.0,314818
2025-04-09,18040.0,18790.0,17800.0,18110.0,280222
2025-04-10,19520.0,19610.0,18600.0,18940.0,384142
2025-04-11,19620.0,20150.0,19130.0,19440.0,334871
2025-04-14,22050.0,23200.0,20050.0,20250.0,2095133
2025-04-15,22150.0,22600.0,21700.0,22500.0,578894
2025-04-16,21150.0,22650.0,20950.0,22400.0,636335
2025-04-17,21850.0,22000.0,20900.0,20900.0,562013
2025-04-18,21450.0,22000.0,21150.0,21850.0,231687
2025-04-21,21800.0,22050.0,21500.0,21850.0,284408
2025-04-22,22150.0,22650.0,21500.0,21550.0,575933
2025-04-23,22050.0,22500.0,21800.0,22450.0,235273
2025-04-24,22100.0,22350.0,21850.0,22050.0,243904
2025-04-25,21900.0,22250.0,21800.0,22100.0,215270
2025-04-28,21800.0,22500.0,21700.0,22050.0,282317
2025-04-29,21800.0,22100.0,21750.0,21950.0,117852
2025-04-30,21350.0,21800.0,21200.0,21750.0,168715
2025-05-02,21200.0,21550.0,21100.0,21350.0,100062
2025-05-07,22200.0,22300.0,20950.0,21250.0,225663
2025-05-08,22400.0,22650.0,22050.0,22500.0,205617
2025-05-09,22500.0,22700.0,22100.0,22450.0,431153
2025-05-12,22400.0,22900.0,22250.0,22900.0,408501
2025-05-13,22600.0,22850.0,22350.0,22750.0,273118
2025-05-14,22450.0,22900.0,22400.0,22900.0,264434
2025-05-15,22300.0,22750.0,22050.0,22550.0,375427
2025-05-16,22000.0,22725.0,21900.0,22250.0,339805
2025-05-19,22350.0,22650.0,21500.0,21800.0,273886
2025-05-20,23550.0,24000.0,22600.0,22650.0,1248464
2025-05-21,23300.0,23650.0,22950.0,23550.0,305498
2025-05-22,22800.0,23300.0,22600.0,22900.0,247061
2025-05-23,23100.0,23350.0,22300.0,22800.0,193078
2025-05-26,22700.0,23050.0,22350.0,22850.0,264143
2025-05-27,23050.0,23550.0,22700.0,23150.0,272047
2025-05-28,23350.0,23550.0,23050.0,23300.0,244986
2025-05-29,23000.0,23600.0,22600.0,23550.0,376494
2025-05-30,23400.0,23450.0,22700.0,22950.0,257057
2025-06-02,24650.0,25200.0,23250.0,23600.0,1319246
2025-06-04,25500.0,26250.0,24600.0,26100.0,1250812
2025-06-05,26800.0,27450.0,25350.0,25650.0,1332268
2025-06-09,29750.0,30750.0,27750.0,28050.0,2153755
2025-06-10,29100.0,29450.0,28550.0,29050.0,633494
2025-06-11,29200.0,29550.0,28050.0,28650.0,673548
2025-06-12,29050.0,29250.0,28450.0,28800.0,420117
2025-06-13,28150.0,30200.0,27800.0,30200.0,812523
2025-06-16,29950.0,30300.0,28150.0,28850.0,798943
2025-06-17,30250.0,32400.0,29550.0,32000.0,1091494
2025-06-18,34500.0,34600.0,29400.0,29600.0,3096090
2025-06-19,33100.0,33900.0,32300.0,33900.0,1191030
2025-06-20,32550.0,32650.0,30750.0,32600.0,1104796
2025-06-23,34100.0,35900.0,30950.0,31300.0,2408866
2025-06-24,33300.0,34500.0,32600.0,34500.0,629951
2025-06-25,32350.0,33000.0,31600.0,32950.0,643056
2025-06-26,31000.0,31900.0,30550.0,31800.0,542082
2025-06-27,30450.0,31450.0,30300.0,31300.0,384741
2025-06-30,30550.0,31100.0,29950.0,30400.0,392542
2025-07-01,30550.0,31250.0,30550.0,30950.0,364152
2025-07-02,30100.0,30850.0,29450.0,30850.0,280253
2025-07-03,30050.0,30450.0,29650.0,30300.0,256161
2025-07-04,29250.0,30300.0,29200.0,30050.0,237278
2025-07-07,29650.0,31150.0,28600.0,28800.0,632118
2025-07-08,29750.0,30200.0,29300.0,30000.0,178188
2025-07-09,29800.0,30100.0,29600.0,29900.0,168775
2025-07-10,29850.0,30500.0,29400.0,30350.0,245827
2025-07-11,29250.0,29900.0,28800.0,29800.0,256139
2025-07-14,28950.0,29500.0,28450.0,29100.0,216122
2025-07-15,29050.0,29350.0,28650.0,28900.0,168820
2025-07-16,28850.0,29500.0,28600.0,29500.0,245969
2025-07-17,28300.0,29050.0,27800.0,28850.0,276640
2025-07-18,28000.0,28250.0,27500.0,28200.0,283506
2025-07-21,27750.0,28150.0,27550.0,28100.0,136328
2025-07-22,27250.0,27850.0,27100.0,27850.0,194267
2025-07-23,27300.0,27750.0,26900.0,27350.0,179541
2025-07-24,26650.0,27500.0,26550.0,27450.0,195609
2025-07-25,26800.0,27100.0,26600.0,26650.0,129992
2025-07-28,26950.0,27400.0,26700.0,27400.0,110629
2025-07-29,26350.0,26850.0,26200.0,26750.0,164508
2025-07-30,27000.0,27450.0,26500.0,26500.0,368622
2025-07-31,27600.0,27950.0,27050.0,27350.0,267681
2025-08-01,26100.0,27600.0,26050.0,27500.0,189716
2025-08-04,26800.0,27500.0,26250.0,26400.0,291627
2025-08-05,25400.0,27400.0,25150.0,27300.0,642147
2025-08-06,25500.0,25650.0,25150.0,25600.0,132018
2025-08-07,26100.0,26100.0,25450.0,25650.0,190716
2025-08-08,25650.0,26500.0,25500.0,26200.0,146039
2025-08-11,25100.0,25650.0,25100.0,25600.0,120218
2025-08-12,25350.0,26550.0,25150.0,25150.0,272378
2025-08-13,25600.0,25800.0,25000.0,25800.0,282770
2025-08-14,25500.0,26000.0,25200.0,25550.0,155841
2025-08-18,25650.0,25800.0,24900.0,25150.0,200039
2025-08-19,25300.0,26000.0,25150.0,25900.0,114588
2025-08-20,24500.0,24900.0,24100.0,24750.0,168594
2025-08-21,24450.0,24850.0,24250.0,24500.0,100394
2025-08-22,24650.0,24900.0,24300.0,24400.0,110642
2025-08-25,25100.0,25250.0,24800.0,24900.0,76305
2025-08-26,25100.0,25300.0,24750.0,25000.0,104684
2025-08-27,25000.0,25350.0,24850.0,25200.0,93662
2025-08-28,25000.0,25250.0,24750.0,24850.0,86635
2025-08-29,25000.0,25650.0,24900.0,25200.0,138541
2025-09-01,24350.0,24800.0,24100.0,24750.0,96443
2025-09-02,24750.0,24900.0,24400.0,24400.0,80329
2025-09-03,24250.0,24750.0,24050.0,24700.0,101879
2025-09-04,24650.0,24800.0,24200.0,24300.0,61340
2025-09-05,24650.0,24950.0,24550.0,24900.0,56340
2025-09-08,26000.0,26400.0,25000.0,25000.0,306614
2025-09-09,26300.0,26550.0,25900.0,26400.0,247336
2025-09-10,26600.0,27350.0,26500.0,27350.0,333258
2025-09-11,26600.0,27250.0,26500.0,27150.0,228167
2025-09-12,26750.0,27200.0,26550.0,26850.0,264178
2025-09-15,26100.0,27000.0,26100.0,26950.0,202920
2025-09-16,26300.0,26550.0,26050.0,26200.0,120238
2025-09-17,26100.0,26250.0,25750.0,26200.0,94749
2025-09-18,26450.0,26550.0,26100.0,26300.0,99610
2025-09-19,26600.0,27100.0,26350.0,26650.0,197836
2025-09-22,26200.0,26950.0,26150.0,26900.0,153213
2025-09-23,27250.0,27800.0,26950.0,27150.0,434044
2025-09-24,26300.0,27500.0,26200.0,27500.0,251545
2025-09-25,26200.0,26850.0,25950.0,26400.0,170653
2025-09-26,25200.0,26250.0,25050.0,26150.0,170344
2025-09-29,25650.0,26200.0,25500.0,25550.0,116317
2025-09-30,25600.0,25900.0,25050.0,25700.0,153153
2025-10-01,25650.0,26250.0,25500.0,25750.0,92283
2025-10-02,25800.0,26400.0,25800.0,26050.0,99569
2025-10-10,25900.0,26200.0,25650.0,26000.0,130565
2025-10-13,25350.0,25550.0,24950.0,25200.0,154436
2025-10-14,24600.0,25700.0,24350.0,25500.0,166649
2025-10-15,25050.0,25100.0,24400.0,24750.0,125803
2025-10-16,24900.0,25450.0,24800.0,25250.0,120689
2025-10-17,24200.0,24650.0,24200.0,24600.0,144575
2025-10-20,24350.0,24450.0,24000.0,24350.0,136397
2025-10-21,24600.0,25200.0,24450.0,24600.0,114482
2025-10-22,24500.0,24950.0,24150.0,24900.0,142624
2025-10-23,24100.0,24600.0,24050.0,24300.0,94589
2025-10-24,24000.0,24450.0,23900.0,24350.0,140300
2025-10-27,25050.0,25150.0,24100.0,24250.0,209234
2025-10-28,24950.0,25200.0,24750.0,25150.0,115450
2025-10-29,25300.0,25800.0,25100.0,25650.0,216292
2025-10-30,24400.0,25400.0,24250.0,25350.0,134503
2025-10-31,24850.0,25050.0,24350.0,24600.0,117987
2025-11-03,25600.0,25950.0,25400.0,25550.0,251108
2025-11-04,25150.0,25450.0,25000.0,25450.0,136460
2025-11-05,24800.0,24900.0,23350.0,24850.0,239353
2025-11-06,24200.0,25200.0,24000.0,25150.0,213525
2025-11-07,23700.0,24050.0,23450.0,23650.0,165289
2025-11-10,24400.0,24600.0,23700.0,23800.0,109119
2025-11-11,24100.0,25000.0,23800.0,24600.0,115796
2025-11-12,25400.0,25600.0,24000.0,24450.0,207533
2025-11-13,25250.0,25800.0,25150.0,25350.0,144207
2025-11-14,24200.0,24800.0,24150.0,24600.0,100988
2025-11-17,24100.0,24450.0,23850.0,24450.0,73023
2025-11-18,22800.0,23950.0,22800.0,23850.0,156233
2025-11-19,22450.0,23050.0,22150.0,22750.0,143111
2025-11-20,22750.0,23150.0,22650.0,22950.0,90860
2025-11-21,21950.0,22150.0,21750.0,21800.0,91395
2025-11-24,22350.0,22650.0,21950.0,22200.0,106945
2025-11-25,23150.0,23550.0,22650.0,22850.0,130477
2025-11-26,23750.0,23850.0,23050.0,23500.0,107773
2025-11-27,23300.0,23800.0,23200.0,23650.0,92758
2025-11-28,23850.0,24050.0,23350.0,23400.0,134931
2025-12-01,24400.0,25250.0,24050.0,24250.0,271393
2025-12-02,24350.0,24750.0,24250.0,24600.0,62614
2025-12-03,24450.0,24650.0,24250.0,24550.0,75955
2025-12-04,24800.0,24850.0,24250.0,24400.0,115719
2025-12-05,24600.0,24900.0,24500.0,24850.0,86591
2025-12-08,24250.0,24700.0,24150.0,24550.0,93886
2025-12-09,24400.0,24450.0,23950.0,24300.0,75707
2025-12-10,24350.0,25350.0,24250.0,24550.0,160162
2025-12-11,24550.0,24900.0,24000.0,24400.0,292062
2025-12-12,24150.0,24750.0,24050.0,24500.0,128492
2025-12-15,23600.0,23750.0,23250.0,23600.0,129676
2025-12-16,23100.0,23700.0,23050.0,23400.0,124995
2025-12-17,22850.0,23250.0,22600.0,23150.0,151218
2025-12-18,23050.0,23100.0,22200.0,22400.0,102868
2025-12-19,23300.0,23350.0,22600.0,23050.0,106638
2025-12-22,23900.0,24100.0,23500.0,23500.0,120878
2025-12-23,23500.0,24100.0,23400.0,24100.0,70714
2025-12-24,23350.0,23500.0,23100.0,23450.0,58687
2025-12-26,23100.0,23650.0,23050.0,23300.0,90365
2025-12-29,23000.0,23250.0,22650.0,22900.0,73359
2025-12-30,22950.0,23250.0,22850.0,22850.0,60061
